Date,Offence category,Incident_Count,Year,Month_Num,Month_Label
2021-01-05,Drug offences,144.0,2021,1,Jan-21
2021-01-05,Homicide,0.0,2021,1,Jan-21
2021-01-05,"Intimidation, stalking and harassment",125.0,2021,1,Jan-21
2021-01-05,Liquor offences,28.0,2021,1,Jan-21
2021-01-05,Malicious damage to property,130.0,2021,1,Jan-21
2021-01-05,Other offences,140.0,2021,1,Jan-21
2021-01-05,Other offences against the person,5.0,2021,1,Jan-21
2021-01-05,Pornography offences,3.0,2021,1,Jan-21
2021-01-05,Prohibited and regulated weapons offences,35.0,2021,1,Jan-21
2021-01-05,Robbery,5.0,2021,1,Jan-21
2021-01-05,Sexual offences,39.0,2021,1,Jan-21
2021-01-05,Theft,581.0,2021,1,Jan-21
2021-01-05,Transport regulatory offences,256.0,2021,1,Jan-21
2021-01-06,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-06,Against justice procedures,161.0,2021,1,Jan-21
2021-01-06,Arson,4.0,2021,1,Jan-21
2021-01-06,Assault,167.0,2021,1,Jan-21
2021-01-06,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-06,Blackmail and extortion,1.0,2021,1,Jan-21
2021-01-06,Coercive Control,0.0,2021,1,Jan-21
2021-01-06,Disorderly conduct,55.0,2021,1,Jan-21
2021-01-06,Drug offences,178.0,2021,1,Jan-21
2021-01-06,Homicide,1.0,2021,1,Jan-21
2021-01-06,"Intimidation, stalking and harassment",116.0,2021,1,Jan-21
2021-01-06,Liquor offences,21.0,2021,1,Jan-21
2021-01-06,Malicious damage to property,149.0,2021,1,Jan-21
2021-01-06,Other offences,158.0,2021,1,Jan-21
2021-01-06,Other offences against the person,7.0,2021,1,Jan-21
2021-01-06,Pornography offences,0.0,2021,1,Jan-21
2021-01-06,Prohibited and regulated weapons offences,40.0,2021,1,Jan-21
2021-01-06,Robbery,7.0,2021,1,Jan-21
2021-01-06,Sexual offences,32.0,2021,1,Jan-21
2021-01-06,Theft,557.0,2021,1,Jan-21
2021-01-06,Transport regulatory offences,268.0,2021,1,Jan-21
2021-01-07,Abduction and kidnapping,2.0,2021,1,Jan-21
2021-01-07,Against justice procedures,217.0,2021,1,Jan-21
2021-01-07,Arson,7.0,2021,1,Jan-21
2021-01-07,Assault,153.0,2021,1,Jan-21
2021-01-07,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-07,Blackmail and extortion,2.0,2021,1,Jan-21
2021-01-07,Coercive Control,0.0,2021,1,Jan-21
2021-01-07,Disorderly conduct,41.0,2021,1,Jan-21
2021-01-07,Drug offences,189.0,2021,1,Jan-21
2021-01-07,Homicide,0.0,2021,1,Jan-21
2021-01-07,"Intimidation, stalking and harassment",109.0,2021,1,Jan-21
2021-01-07,Liquor offences,14.0,2021,1,Jan-21
2021-01-07,Malicious damage to property,124.0,2021,1,Jan-21
2021-01-07,Other offences,198.0,2021,1,Jan-21
2021-01-07,Other offences against the person,5.0,2021,1,Jan-21
2021-01-07,Pornography offences,2.0,2021,1,Jan-21
2021-01-07,Prohibited and regulated weapons offences,47.0,2021,1,Jan-21
2021-01-07,Robbery,6.0,2021,1,Jan-21
2021-01-07,Sexual offences,34.0,2021,1,Jan-21
2021-01-07,Theft,560.0,2021,1,Jan-21
2021-01-07,Transport regulatory offences,261.0,2021,1,Jan-21
2021-01-08,Abduction and kidnapping,3.0,2021,1,Jan-21
2021-01-08,Against justice procedures,272.0,2021,1,Jan-21
2021-01-08,Arson,11.0,2021,1,Jan-21
2021-01-08,Assault,169.0,2021,1,Jan-21
2021-01-08,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-08,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-08,Coercive Control,0.0,2021,1,Jan-21
2021-01-08,Disorderly conduct,63.0,2021,1,Jan-21
2021-01-08,Drug offences,178.0,2021,1,Jan-21
2021-01-08,Homicide,0.0,2021,1,Jan-21
2021-01-08,"Intimidation, stalking and harassment",112.0,2021,1,Jan-21
2021-01-08,Liquor offences,55.0,2021,1,Jan-21
2021-01-08,Malicious damage to property,155.0,2021,1,Jan-21
2021-01-08,Other offences,206.0,2021,1,Jan-21
2021-01-08,Other offences against the person,3.0,2021,1,Jan-21
2021-01-08,Pornography offences,2.0,2021,1,Jan-21
2021-01-08,Prohibited and regulated weapons offences,53.0,2021,1,Jan-21
2021-01-08,Robbery,7.0,2021,1,Jan-21
2021-01-08,Sexual offences,34.0,2021,1,Jan-21
2021-01-08,Theft,499.0,2021,1,Jan-21
2021-01-08,Transport regulatory offences,340.0,2021,1,Jan-21
2021-01-09,Abduction and kidnapping,1.0,2021,1,Jan-21
2021-01-09,Against justice procedures,198.0,2021,1,Jan-21
2021-01-09,Arson,11.0,2021,1,Jan-21
2021-01-09,Assault,200.0,2021,1,Jan-21
2021-01-09,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-09,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-09,Coercive Control,0.0,2021,1,Jan-21
2021-01-09,Disorderly conduct,84.0,2021,1,Jan-21
2021-01-09,Drug offences,144.0,2021,1,Jan-21
2021-01-09,Homicide,0.0,2021,1,Jan-21
2021-01-09,"Intimidation, stalking and harassment",113.0,2021,1,Jan-21
2021-01-09,Liquor offences,35.0,2021,1,Jan-21
2021-01-09,Malicious damage to property,162.0,2021,1,Jan-21
2021-01-09,Other offences,183.0,2021,1,Jan-21
2021-01-09,Other offences against the person,4.0,2021,1,Jan-21
2021-01-09,Pornography offences,1.0,2021,1,Jan-21
2021-01-09,Prohibited and regulated weapons offences,52.0,2021,1,Jan-21
2021-01-09,Robbery,3.0,2021,1,Jan-21
2021-01-09,Sexual offences,24.0,2021,1,Jan-21
2021-01-09,Theft,430.0,2021,1,Jan-21
2021-01-09,Transport regulatory offences,222.0,2021,1,Jan-21
2021-01-10,Abduction and kidnapping,0.0,2021,1,Jan-21
2021-01-10,Against justice procedures,161.0,2021,1,Jan-21
2021-01-10,Arson,11.0,2021,1,Jan-21
2021-01-10,Assault,208.0,2021,1,Jan-21
2021-01-10,Betting and gaming offences,0.0,2021,1,Jan-21
2021-01-10,Blackmail and extortion,0.0,2021,1,Jan-21
2021-01-10,Coercive Control,0.0,2021,1,Jan-21
2021-01-10,Disorderly conduct,48.0,2021,1,Jan-21
2021-01-10,Drug offences,78.0,2021,1,Jan-21
2021-01-10,Homicide,1.0,2021,1,Jan-21
2021-01-10,"Intimidation, stalking and harassment",118.0,2021,1,Jan-21
2021-01-10,Liquor offences,17.0,2021,1,Jan-21
2021-01-10,Malicious damage to property,131.0,2021,1,Jan-21
2021-01-10,Other offences,147.0,2021,1,Jan-21
2021-01-10,Other offences against the person,2.0,2021,1,Jan-21
2021-01-10,Pornography offences,2.0,2021,1,Jan-21
2021-01-10,Prohibited and regulated weapons offences,21.0,2021,1,Jan-21
2021-01-10,Robbery,5.0,2021,1,Jan-21
